Date,Open,High,Low,Close,Adj_Close,Volume
2019-08-30,8015160156,8017910156,7914740234,7962879883,7962879883,1665840000
2019-09-03,7906439941,7940370117,7847319824,7874160156,7874160156,1936210000
2019-09-04,7949810059,7981410156,7928939941,7976879883,7976879883,1891300000
2019-09-05,8061290039,8134419922,8061290039,8116830078,8116830078,2096300000
2019-09-06,8125580078,8134390137,8098520020,8103069824,8103069824,1876380000
2019-09-09,8130910156,8131660156,8052339844,8087439941,8087439941,2172240000
2019-09-10,8049979980,8086529785,8001680176,8084160156,8084160156,2362860000
2019-09-11,8091680176,8169680176,8081560059,8169680176,8169680176,2310440000
2019-09-12,8206580078,8243799805,8176729980,8194469727,8194469727,2159260000
2019-09-13,8190569824,8210200195,8165470215,8176709961,8176709961,1976770000
2019-09-16,8121640137,8165330078,8121250000,8153540039,8153540039,1869220000
2019-09-17,8148649902,8188229980,8139819824,8186020020,8186020020,1850340000
2019-09-18,8174620117,8179870117,8086220215,8177390137,8177390137,2034880000
2019-09-19,8193589844,8237429688,8174319824,8182879883,8182879883,1792700000
2019-09-20,8184879883,8202820313,8086160156,8117669922,8117669922,3359380000
2019-09-23,8106490234,8135810059,8085339844,8112459961,8112459961,1780160000
2019-09-24,8147229980,8158830078,7969649902,7993629883,7993629883,2302600000
2019-09-25,7990660156,8095000000,7935569824,8077379883,8077379883,2015270000
2019-09-26,8070120117,8072109863,7991020020,8030660156,8030660156,1832800000
2019-09-27,8047109863,8051830078,7890279785,7939629883,7939629883,2037720000
2019-09-30,7964089844,8012160156,7949629883,7999339844,7999339844,1805820000
2019-10-01,8026830078,8062500000,7906290039,7908680176,7908680176,2243650000
2019-10-02,7851129883,7852700195,7744959961,7785250000,7785250000,2495160000
2019-10-03,7787020020,7872259766,7700000000,7872259766,7872259766,2141490000
2019-10-04,7908439941,7986620117,7899390137,7982470215,7982470215,1736890000
2019-10-07,7956410156,8013310059,7942080078,7956290039,7956290039,1739450000
2019-10-08,7898270020,7921879883,7823729980,7823779785,7823779785,1933580000
2019-10-09,7895959961,7930919922,7873520020,7903740234,7903740234,1553900000
2019-10-10,7904560059,7982839844,7899810059,7950779785,7950779785,1778740000
